interval,sinr_dB,cqi,mcs,throughput_Mbps
490,6.3032,7,11,25.3975
491,13.5242,10,18,46.9646
492,8.9747,8,13,32.9225
493,12.8191,10,18,46.9646
494,7.0310,7,11,25.3975
495,11.1342,9,15,41.3884
496,11.5272,9,15,41.3884
497,7.8911,7,11,25.3975
498,4.8623,6,8,20.2238
499,11.4237,9,15,41.3884
500,15.8074,11,20,57.1436
501,6.1943,7,11,25.3975
502,12.1518,10,18,46.9646
503,7.8284,7,11,25.3975
504,12.4212,10,18,46.9646
505,13.8443,10,18,46.9646
506,7.8703,7,11,25.3975
507,6.1883,7,11,25.3975
508,2.6615,5,6,15.0844
509,15.5705,11,20,57.1436
510,12.2351,10,18,46.9646
511,8.7995,8,13,32.9225
512,4.7664,6,8,20.2238
513,4.2415,6,8,20.2238
514,5.7532,6,8,20.2238
515,13.2807,10,18,46.9646
516,8.6816,8,13,32.9225
517,12.9217,10,18,46.9646
518,12.0722,10,18,46.9646
519,9.8531,8,13,32.9225
520,10.0956,9,15,41.3884
521,10.8440,9,15,41.3884
522,7.0251,7,11,25.3975
523,5.4283,6,8,20.2238
524,6.9112,7,11,25.3975
525,8.1861,8,13,32.9225
526,16.7778,12,22,67.1196
527,5.4471,6,8,20.2238
528,20.1327,14,26,87.9814
529,8.1219,8,13,32.9225
530,7.7775,7,11,25.3975
531,10.7905,9,15,41.3884
532,14.3735,11,20,57.1436
533,8.6830,8,13,32.9225
534,11.4392,9,15,41.3884
535,7.1102,7,11,25.3975
536,17.0226,12,22,67.1196
537,12.0016,10,18,46.9646
538,20.1655,14,26,87.9814
539,15.5465,11,20,57.1436
540,9.9572,8,13,32.9225
541,4.7895,6,8,20.2238
542,10.1140,9,15,41.3884
543,10.1044,9,15,41.3884
544,10.4615,9,15,41.3884
545,11.7483,9,15,41.3884
546,15.4009,11,20,57.1436
547,13.2161,10,18,46.9646
548,3.2499,5,6,15.0844
549,6.6902,7,11,25.3975
550,8.6043,8,13,32.9225
551,16.8798,12,22,67.1196
552,17.3437,12,22,67.1196
553,7.6948,7,11,25.3975
554,4.3087,6,8,20.2238
555,15.9235,11,20,57.1436
556,9.0449,8,13,32.9225
557,6.5155,7,11,25.3975
558,7.1255,7,11,25.3975
559,8.4503,8,13,32.9225
560,12.6804,10,18,46.9646
561,14.2848,11,20,57.1436
562,13.0853,10,18,46.9646
563,11.1459,9,15,41.3884
564,5.9385,6,8,20.2238
565,6.3188,7,11,25.3975
566,-1.1695,3,2,6.4844
567,5.5883,6,8,20.2238
568,8.7979,8,13,32.9225
569,8.7656,8,13,32.9225
570,5.9991,6,8,20.2238
571,0.9354,4,4,10.3475
572,11.4250,9,15,41.3884
573,9.7155,8,13,32.9225
574,15.2220,11,20,57.1436
575,1.1558,4,4,10.3475
576,10.9483,9,15,41.3884
577,6.7864,7,11,25.3975
578,9.6880,8,13,32.9225
579,12.7780,10,18,46.9646
580,12.4129,10,18,46.9646
581,4.2142,6,8,20.2238
582,13.7249,10,18,46.9646
583,5.5019,6,8,20.2238
584,6.9165,7,11,25.3975
585,13.3612,10,18,46.9646
586,8.5687,8,13,32.9225
587,11.3624,9,15,41.3884
588,5.3721,6,8,20.2238
589,9.0591,8,13,32.9225
590,6.2878,7,11,25.3975
591,5.2942,6,8,20.2238
592,10.9586,9,15,41.3884
593,3.9180,5,6,15.0844
594,7.9787,7,11,25.3975
595,13.6641,10,18,46.9646
596,10.7304,9,15,41.3884
597,11.2818,9,15,41.3884
598,15.8150,11,20,57.1436
599,4.8018,6,8,20.2238
600,20.1772,14,26,87.9814
601,6.6173,7,11,25.3975
602,12.1953,10,18,46.9646
603,9.7316,8,13,32.9225
604,2.7935,5,6,15.0844
605,16.6399,12,22,67.1196
606,11.4169,9,15,41.3884
607,1.4175,4,4,10.3475
608,7.9639,7,11,25.3975
609,7.8809,7,11,25.3975
610,10.3305,9,15,41.3884
611,8.1080,8,13,32.9225
612,13.8358,10,18,46.9646
613,11.5608,9,15,41.3884
614,3.9818,5,6,15.0844
615,17.0740,12,22,67.1196
616,8.2985,8,13,32.9225
617,9.2693,8,13,32.9225
618,12.8970,10,18,46.9646
619,6.2544,7,11,25.3975
620,13.5616,10,18,46.9646
621,13.2294,10,18,46.9646
622,16.6362,12,22,67.1196
623,13.6889,10,18,46.9646
624,7.9741,7,11,25.3975
625,5.4127,6,8,20.2238
626,11.5422,9,15,41.3884
627,5.9435,6,8,20.2238
628,3.0096,5,6,15.0844
629,4.8002,6,8,20.2238
630,11.8321,9,15,41.3884
631,9.5764,8,13,32.9225
632,0.9688,4,4,10.3475
633,22.1908,15,28,95.5408
634,6.5201,7,11,25.3975
635,12.9668,10,18,46.9646
636,13.7647,10,18,46.9646
637,8.4448,8,13,32.9225
638,11.1131,9,15,41.3884
639,10.8400,9,15,41.3884
640,11.8716,9,15,41.3884
641,14.3305,11,20,57.1436
642,16.2434,12,22,67.1196
643,10.8750,9,15,41.3884
644,6.3647,7,11,25.3975
645,15.0388,11,20,57.1436
646,11.9779,9,15,41.3884
647,11.9920,9,15,41.3884
648,9.9890,8,13,32.9225
649,18.1889,13,24,77.8025
650,8.1577,8,13,32.9225
651,8.6283,8,13,32.9225
652,12.3596,10,18,46.9646
653,14.4016,11,20,57.1436
654,5.6137,6,8,20.2238
655,13.1692,10,18,46.9646
656,9.2497,8,13,32.9225
657,6.2401,7,11,25.3975
658,5.3357,6,8,20.2238
659,7.9562,7,11,25.3975
660,10.6687,9,15,41.3884
661,10.2762,9,15,41.3884
662,11.0703,9,15,41.3884
663,15.1333,11,20,57.1436
664,15.6896,11,20,57.1436
665,8.5644,8,13,32.9225
666,13.7113,10,18,46.9646
667,14.4728,11,20,57.1436
668,2.5613,5,6,15.0844
669,10.6536,9,15,41.3884
670,12.0547,10,18,46.9646
671,16.8665,12,22,67.1196
672,11.3536,9,15,41.3884
673,11.1480,9,15,41.3884
674,9.1153,8,13,32.9225
675,11.9323,9,15,41.3884
676,15.7985,11,20,57.1436
677,8.5143,8,13,32.9225
678,9.9813,8,13,32.9225
679,11.7920,9,15,41.3884
680,7.0794,7,11,25.3975
681,12.7250,10,18,46.9646
682,13.2500,10,18,46.9646
683,9.5248,8,13,32.9225
684,3.5691,5,6,15.0844
685,7.8553,7,11,25.3975
686,6.1597,7,11,25.3975
687,10.4955,9,15,41.3884
688,8.5531,8,13,32.9225
689,4.8630,6,8,20.2238
690,9.8935,8,13,32.9225
691,5.9026,6,8,20.2238
692,9.2855,8,13,32.9225
693,5.4238,6,8,20.2238
694,15.0714,11,20,57.1436
695,6.9112,7,11,25.3975
696,3.4223,5,6,15.0844
697,14.5610,11,20,57.1436
698,12.0496,10,18,46.9646
699,4.8036,6,8,20.2238
700,11.5537,9,15,41.3884
701,8.7523,8,13,32.9225
702,16.1577,12,22,67.1196
703,0.6580,4,4,10.3475
704,12.2457,10,18,46.9646
705,13.5138,10,18,46.9646
706,7.6473,7,11,25.3975
707,10.7688,9,15,41.3884
708,10.6477,9,15,41.3884
709,16.5951,12,22,67.1196
710,10.1817,9,15,41.3884
711,10.2841,9,15,41.3884
712,14.6162,11,20,57.1436
713,18.2451,13,24,77.8025
714,9.0974,8,13,32.9225
715,7.8837,7,11,25.3975
716,8.2953,8,13,32.9225
717,10.0945,9,15,41.3884
718,17.6945,12,22,67.1196
719,4.3090,6,8,20.2238
720,2.1400,5,6,15.0844
721,5.9982,6,8,20.2238
722,8.8135,8,13,32.9225
723,9.9165,8,13,32.9225
724,15.4198,11,20,57.1436
725,8.4417,8,13,32.9225
726,7.4534,7,11,25.3975
727,3.5842,5,6,15.0844
728,10.0795,9,15,41.3884
729,8.9455,8,13,32.9225
730,6.6056,7,11,25.3975
731,15.8941,11,20,57.1436
732,16.6372,12,22,67.1196
733,5.1444,6,8,20.2238
734,11.0758,9,15,41.3884
735,12.8927,10,18,46.9646
736,16.0775,12,22,67.1196
737,6.6002,7,11,25.3975
738,12.1510,10,18,46.9646
739,8.3524,8,13,32.9225
740,9.5170,8,13,32.9225
741,10.9980,9,15,41.3884
742,10.5135,9,15,41.3884
743,10.1049,9,15,41.3884
744,14.6303,11,20,57.1436
745,13.7109,10,18,46.9646
746,10.4338,9,15,41.3884
747,7.3392,7,11,25.3975
748,10.5522,9,15,41.3884
749,11.3735,9,15,41.3884
750,14.8041,11,20,57.1436
751,8.7584,8,13,32.9225
752,8.4252,8,13,32.9225
753,9.5724,8,13,32.9225
754,11.3717,9,15,41.3884
755,8.3185,8,13,32.9225
756,3.9733,5,6,15.0844
757,9.7944,8,13,32.9225
758,12.0481,10,18,46.9646
759,8.1301,8,13,32.9225
760,4.9948,6,8,20.2238
761,7.3237,7,11,25.3975
762,8.6742,8,13,32.9225
763,12.8703,10,18,46.9646
764,8.9819,8,13,32.9225
765,15.5613,11,20,57.1436
766,17.3086,12,22,67.1196
767,5.0845,6,8,20.2238
768,7.3532,7,11,25.3975
769,16.6860,12,22,67.1196
770,9.3414,8,13,32.9225
771,13.6434,10,18,46.9646
772,9.2623,8,13,32.9225
773,14.5466,11,20,57.1436
774,9.3802,8,13,32.9225
775,5.6621,6,8,20.2238
776,8.6760,8,13,32.9225
777,8.5196,8,13,32.9225
778,11.2090,9,15,41.3884
779,14.8405,11,20,57.1436
780,12.6379,10,18,46.9646
781,8.5856,8,13,32.9225
782,5.2157,6,8,20.2238
783,12.8681,10,18,46.9646
784,17.5933,12,22,67.1196
785,7.4915,7,11,25.3975
786,11.8033,9,15,41.3884
787,1.2173,4,4,10.3475
788,6.3942,7,11,25.3975
789,14.5918,11,20,57.1436
790,13.6134,10,18,46.9646
791,6.7089,7,11,25.3975
792,8.1440,8,13,32.9225
793,12.3979,10,18,46.9646
794,14.5345,11,20,57.1436
795,7.4969,7,11,25.3975
796,10.4238,9,15,41.3884
797,6.5177,7,11,25.3975
798,4.9859,6,8,20.2238
799,17.6192,12,22,67.1196
800,2.7070,5,6,15.0844
801,10.3327,9,15,41.3884
802,7.2419,7,11,25.3975
803,8.2346,8,13,32.9225
804,9.2334,8,13,32.9225
805,12.4199,10,18,46.9646
806,14.0953,11,20,57.1436
807,4.1232,6,8,20.2238
808,10.6462,9,15,41.3884
809,9.8685,8,13,32.9225
810,9.9760,8,13,32.9225
811,3.5929,5,6,15.0844
812,7.4427,7,11,25.3975
813,10.2995,9,15,41.3884
814,4.5440,6,8,20.2238
815,5.7822,6,8,20.2238
816,14.7790,11,20,57.1436
817,12.8421,10,18,46.9646
818,11.4186,9,15,41.3884
819,10.2478,9,15,41.3884
820,10.8238,9,15,41.3884
821,14.6524,11,20,57.1436
822,7.5036,7,11,25.3975
823,14.4742,11,20,57.1436
824,9.5541,8,13,32.9225
825,4.3244,6,8,20.2238
826,4.6681,6,8,20.2238
827,7.9258,7,11,25.3975
828,16.0042,12,22,67.1196
829,5.6926,6,8,20.2238
830,5.0184,6,8,20.2238
831,12.3236,10,18,46.9646
832,14.1588,11,20,57.1436
833,2.6120,5,6,15.0844
834,7.3453,7,11,25.3975
835,3.6246,5,6,15.0844
836,5.4378,6,8,20.2238
837,5.7318,6,8,20.2238
838,5.8900,6,8,20.2238
839,10.5586,9,15,41.3884
840,17.5232,12,22,67.1196
841,11.6568,9,15,41.3884
842,4.8473,6,8,20.2238
843,15.2926,11,20,57.1436
844,13.2947,10,18,46.9646
845,11.3070,9,15,41.3884
846,1.1881,4,4,10.3475
847,13.5176,10,18,46.9646
848,15.6098,11,20,57.1436
849,11.5402,9,15,41.3884
850,13.2185,10,18,46.9646
851,8.8831,8,13,32.9225
852,12.7194,10,18,46.9646
853,4.3293,6,8,20.2238
854,18.3868,13,24,77.8025
855,8.7581,8,13,32.9225
856,17.4597,12,22,67.1196
857,10.4311,9,15,41.3884
858,13.0005,10,18,46.9646
859,16.1068,12,22,67.1196
860,11.5464,9,15,41.3884
861,6.1515,7,11,25.3975
862,10.0498,9,15,41.3884
863,7.2741,7,11,25.3975
864,5.1451,6,8,20.2238
865,15.2894,11,20,57.1436
866,15.5542,11,20,57.1436
867,2.8858,5,6,15.0844
868,14.6101,11,20,57.1436
869,8.4728,8,13,32.9225
870,13.2801,10,18,46.9646
871,12.2539,10,18,46.9646
872,5.1537,6,8,20.2238
873,3.9529,5,6,15.0844
874,9.5849,8,13,32.9225
875,16.4933,12,22,67.1196
876,5.3953,6,8,20.2238
877,5.4133,6,8,20.2238
878,6.4821,7,11,25.3975
879,12.7408,10,18,46.9646
880,14.4520,11,20,57.1436
881,11.7213,9,15,41.3884
882,13.5964,10,18,46.9646
883,5.3088,6,8,20.2238
884,3.8059,5,6,15.0844
885,9.2973,8,13,32.9225
886,10.0844,9,15,41.3884
887,12.8125,10,18,46.9646
888,9.8234,8,13,32.9225
889,18.6956,13,24,77.8025
890,15.1793,11,20,57.1436
891,13.8221,10,18,46.9646
892,10.6095,9,15,41.3884
893,11.1220,9,15,41.3884
894,4.3584,6,8,20.2238
895,15.2679,11,20,57.1436
896,9.5610,8,13,32.9225
897,18.9322,13,24,77.8025
898,7.1679,7,11,25.3975
899,15.6105,11,20,57.1436
900,10.0542,9,15,41.3884
901,8.5692,8,13,32.9225
902,4.5457,6,8,20.2238
903,9.7536,8,13,32.9225
904,13.4106,10,18,46.9646
905,15.2795,11,20,57.1436
906,6.5378,7,11,25.3975
907,15.2380,11,20,57.1436
908,9.9467,8,13,32.9225
909,9.8572,8,13,32.9225
910,8.5758,8,13,32.9225
911,7.1078,7,11,25.3975
912,5.1605,6,8,20.2238
913,14.4020,11,20,57.1436
914,3.8364,5,6,15.0844
915,10.3022,9,15,41.3884
916,3.5849,5,6,15.0844
917,11.8982,9,15,41.3884
918,12.9219,10,18,46.9646
919,8.3874,8,13,32.9225
920,17.2032,12,22,67.1196
921,10.6615,9,15,41.3884
922,8.5189,8,13,32.9225
923,7.2012,7,11,25.3975
924,13.4078,10,18,46.9646
925,3.3040,5,6,15.0844
926,9.4570,8,13,32.9225
927,10.9264,9,15,41.3884
928,16.5971,12,22,67.1196
929,7.3441,7,11,25.3975
930,8.8022,8,13,32.9225
931,11.6598,9,15,41.3884
932,16.2655,12,22,67.1196
933,9.3717,8,13,32.9225
934,12.0555,10,18,46.9646
935,3.4946,5,6,15.0844
936,3.1980,5,6,15.0844
937,7.2000,7,11,25.3975
938,11.3047,9,15,41.3884
939,7.8112,7,11,25.3975
940,15.9062,11,20,57.1436
941,-0.1437,3,2,6.4844
942,8.4790,8,13,32.9225
943,3.8028,5,6,15.0844
944,18.4534,13,24,77.8025
945,7.5230,7,11,25.3975
946,11.2422,9,15,41.3884
947,12.3358,10,18,46.9646
948,2.9892,5,6,15.0844
949,10.5215,9,15,41.3884
950,16.4982,12,22,67.1196
951,11.4850,9,15,41.3884
952,0.8102,4,4,10.3475
953,8.4068,8,13,32.9225
954,13.9982,10,18,46.9646
955,7.0469,7,11,25.3975
956,8.3000,8,13,32.9225
957,13.6116,10,18,46.9646
958,5.7902,6,8,20.2238
959,12.0577,10,18,46.9646
960,0.5484,4,4,10.3475
961,7.6899,7,11,25.3975
962,7.8002,7,11,25.3975
963,13.2388,10,18,46.9646
964,2.7483,5,6,15.0844
965,8.2977,8,13,32.9225
966,2.8168,5,6,15.0844
967,7.7325,7,11,25.3975
968,7.5069,7,11,25.3975
969,14.5827,11,20,57.1436
970,21.0764,14,26,87.9814
971,3.6320,5,6,15.0844
972,12.4468,10,18,46.9646
973,9.0797,8,13,32.9225
974,14.4467,11,20,57.1436
975,11.9066,9,15,41.3884
976,13.3425,10,18,46.9646
977,1.3600,4,4,10.3475
978,9.5132,8,13,32.9225
979,8.6903,8,13,32.9225
980,5.3343,6,8,20.2238
981,4.8987,6,8,20.2238
982,6.9224,7,11,25.3975
983,11.9772,9,15,41.3884
984,11.7055,9,15,41.3884
985,7.0409,7,11,25.3975
986,10.7725,9,15,41.3884
987,15.2475,11,20,57.1436
988,5.4097,6,8,20.2238
989,13.4120,10,18,46.9646
990,6.4984,7,11,25.3975
991,5.0032,6,8,20.2238
992,2.0856,5,6,15.0844
993,7.2881,7,11,25.3975
994,14.0374,11,20,57.1436
995,5.4169,6,8,20.2238
996,17.4850,12,22,67.1196
997,7.1618,7,11,25.3975
998,7.2230,7,11,25.3975
999,6.7182,7,11,25.3975
